full_name,priceA,height,body_mass_index,foot,age,position,Successfull Pass Rate,Total Successful Passes,Duels Rate,Duels,Total Losses Of Possession,Time Played,Appearances,Recoveries,Touches,Games Played,Winning Goal,Goals Conceded,Key Passes,Total Shots,Yellow Cards,label
Gerson Leal Rodrigues Gouveia,2500000,1.88,23.201,2,28,3,0.7867867867867868,262.0,0.3550295857988165,169.0,193,1200,15,51,591,15,1,19.0,9.0,32.0,1.0,2
Umut Bulut,75000,1.84,22.153,2,40,3,0.625,75.0,0.3191489361702128,94.0,65,539,17,19,180,17,0,8.0,7.0,9.0,0.0,2
Francisco Leonel Lima Silva Machado,4000000,1.74,21.799,2,28,2,0.914480077745384,941.0,0.5843373493975904,166.0,185,1349,24,109,1309,24,1,8.0,17.0,8.0,2.0,1
Ibrahim Dresevic,450000,1.86,23.413,2,26,1,1.6111111111111112,58.0,0.0602409638554216,166.0,160,136,1490,9,2700,9,2217,151.0,49.0,0.0,16.0,1
Antonio Mrsic,100000,1.88,22.069,1,36,2,0.5714285714285714,20.0,0.1428571428571428,70.0,11,45,209,31,986,4,574,109.0,19.0,1.0,7.0,1
Uros Radakovic,650000,1.94,23.648,2,29,1,2.727272727272727,30.0,0.0833333333333333,120.0,160,75,982,18,1890,3,1364,53.0,24.0,0.0,8.0,1
Edin Visca,7500000,1.72,21.295,2,33,2,0.7142857142857143,10.0,0.5,20.0,7,49,161,17,549,6,310,35.0,9.0,1.0,4.0,2
Mario Gavranovic,2750000,1.75,24.816,2,34,3,2.4444444444444446,22.0,0.4166666666666667,24.0,12,76,177,40,1153,8,351,78.0,16.0,3.0,1.0,2
Danijel Aleksic,2250000,1.82,22.642,1,32,2,0.8518518518518519,23.0,0.1298701298701298,77.0,11,177,468,68,1638,9,845,110.0,20.0,4.0,8.0,2
Adi Mehremic,600000,1.89,23.796,1,31,1,1.3636363636363635,15.0,0.2631578947368421,38.0,2,28,187,5,643,1,397,47.0,10.0,0.0,2.0,2
Lazar Markovic,4500000,1.75,21.224,2,29,2,0.8387096774193549,26.0,0.1724137931034483,58.0,14,123,362,57,1296,29,752,127.0,23.0,3.0,10.0,2
Marek Hamsik,3250000,1.83,23.59,3,36,2,0.8260869565217391,19.0,0.1265822784810126,79.0,10,191,711,22,1003,7,1078,55.0,17.0,1.0,5.0,2
Vukan Savicevic,500000,1.79,22.471,2,29,2,0.8571428571428571,24.0,0.1136363636363636,88.0,8,76,356,39,1111,17,833,144.0,19.0,0.0,12.0,2
Marko Jevtovic,1750000,1.94,22.053,2,30,2,1.0384615384615383,27.0,0.0775193798449612,129.0,2,96,681,23,1881,2,1127,102.0,26.0,1.0,15.0,2
Kevin Malcuit,6500000,1.78,24.302,2,32,1,0.65625,21.0,0.1041666666666666,96.0,4,97,446,29,1401,13,1024,108.0,18.0,0.0,16.0,2
Adem Ljajic,6250000,1.82,24.152,2,32,2,2.0,4.0,1.6666666666666667,6.0,160,11,51,1,85,1,82,11.0,4.0,4.0,1.0,2
Sofiane Feghouli,2750000,1.77,23.939,2,34,2,0.8059701492537313,54.0,0.1666666666666666,6.0,17,121,6,7,79,6,0,4.0,2.0,4.0,1.0,2
Hakan Arslan,800000,1.86,21.968,2,35,2,0.8027079303675049,415.0,0.4647058823529412,170.0,132,1254,28,99,676,28,0,22.0,10.0,14.0,3.0,2
Serdar Dursun,4000000,1.9,22.161,2,32,3,0.6851851851851852,74.0,0.3728813559322034,59.0,64,351,18,8,186,18,0,8.0,2.0,9.0,1.0,2
Salih Dursun,50000,1.88,22.352,2,32,1,0.7956656346749226,257.0,0.5280898876404494,89.0,111,865,21,54,536,21,0,17.0,2.0,7.0,4.0,1
Magomed Ozdoev,4750000,1.84,22.743,2,31,2,0.8331929233361416,989.0,0.4759358288770053,187.0,310,2489,30,124,1545,30,0,50.0,32.0,17.0,7.0,2
Birkir Bjarnason,1250000,1.83,23.59,2,35,2,0.7454545454545455,41.0,0.6153846153846154,13.0,19,109,4,9,70,4,0,5.0,5.0,4.0,1.0,2
Fernando Lucas Martins,9500000,1.75,26.122,2,31,2,0.8245515695067265,1471.0,0.4690721649484536,194.0,489,2434,28,221,2285,28,0,38.0,57.0,32.0,10.0,2
Sherel Floranus,750000,1.81,22.588,2,25,1,0.8192090395480226,145.0,0.4375,32.0,50,474,12,24,305,12,0,8.0,2.0,1.0,1.0,2
Emre Akbaba,3250000,1.8,22.531,3,31,2,0.7581903276131046,486.0,0.4540816326530612,196.0,293,1737,29,77,1017,29,3,14.0,25.0,36.0,2.0,2
Fabio Borini,3250000,1.8,22.531,2,32,3,0.7184594953519257,541.0,0.544,250.0,339,2380,30,106,1258,30,3,45.0,27.0,61.0,6.0,2
Isaac Cofie,800000,1.84,22.153,2,32,2,0.8497536945812808,345.0,0.4680851063829787,94.0,81,856,15,78,544,15,1,11.0,1.0,10.0,2.0,2
Emeka Friday Eze,650000,1.85,23.375,2,27,3,0.5605381165919282,125.0,0.4078014184397163,282.0,237,1103,14,49,536,14,2,21.0,6.0,18.0,3.0,2
Ramazan Civelek,700000,1.71,23.939,2,27,1,0.828125,424.0,0.4038461538461538,104.0,170,1029,27,62,709,27,1,15.0,19.0,7.0,2.0,1
Miha Zajc,6000000,1.8,23.457,2,29,2,0.8917018284106891,634.0,0.4462809917355372,121.0,137,1079,21,74,876,21,1,15.0,11.0,12.0,3.0,2
Borja Sainz Eguskiza,2250000,1.78,23.671,1,22,2,0.788034188034188,461.0,0.446078431372549,408.0,378,2423,29,131,1253,29,2,43.0,26.0,41.0,9.0,2
Leroy Johan Fer,6500000,1.88,22.352,3,33,2,0.9032738095238096,1214.0,0.5645161290322581,248.0,197,2150,28,146,1671,28,1,49.0,9.0,14.0,9.0,2
Otabek Shukurov,1500000,1.83,22.097,2,27,2,0.8488888888888889,764.0,0.4293193717277487,191.0,201,1844,26,94,1165,26,1,41.0,8.0,10.0,9.0,1
Giorgi Beridze,400000,1.74,23.451,2,26,3,0.7393483709273183,295.0,0.4478527607361963,163.0,248,1593,27,75,695,27,0,26.0,17.0,25.0,0.0,1
Ivan Ricardo Neves Abreu Cavaleiro,7500000,1.75,23.51,2,30,3,0.8381642512077294,347.0,0.3930635838150289,173.0,218,1061,21,59,732,21,0,22.0,16.0,17.0,2.0,2
Mamadou Fall,850000,1.84,20.676,2,32,3,0.6529680365296804,286.0,0.3615635179153094,307.0,342,2700,31,115,915,31,2,44.0,18.0,29.0,6.0,1
Bersant Celina,1250000,1.81,18.314,2,27,2,0.8048780487804879,132.0,0.3571428571428571,28.0,58,264,6,19,225,6,0,5.0,4.0,6.0,1.0,1
Ali Sowe,600000,1.91,23.026,2,29,3,0.755,453.0,0.3691931540342298,409.0,374,2570,30,90,1119,30,4,39.0,25.0,56.0,0.0,1
Philippe Paulin Keny,450000,1.9,22.161,2,24,3,0.6755555555555556,152.0,0.5,152.0,148,844,24,31,406,24,1,15.0,16.0,13.0,1.0,1
Valentin Gheorghe,750000,1.75,20.898,2,26,2,0.7540983606557377,184.0,0.5252525252525253,99.0,147,982,24,50,493,24,0,22.0,8.0,11.0,4.0,2
